created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-20 18:00:00+00:00,"No layoffs, but will take steps to cut costs, says L&amp;T Infotech's CEO and MD Sanjay Jalona

#Covid19
#L&amp;TInfotech

https://t.co/HAeBLXC8UE",bsindia,India,"Latest updates #news #LIVE coverage on #economy #companies #markets #politics and #technology from India's leading business daily
https://t.co/VVl6HGuvvc",1962781,379,291518,True,No Value Mentioned
2020-05-20 18:00:01+00:00,RT @menakadoshi: Loyalty programs are getting better as airlines fight to keep customers and generate revenue after coronavirus ransacked t…,prafulkar123,"Mumbai, India, Asia",Indian Chartered Accountant with almost 30 years experience in industry,34,209,5662,False,"Loyalty programs are getting better as airlines fight to keep customers and generate revenue after coronavirus ransacked travel.

(If you are a frequent international flyer you want to read this.) https://t.co/1438fuSuUx"
2020-05-20 18:00:02+00:00,"RT @AskAnshul: Nepal officially releases new controversial map showing Indian territories of Lipulekh, Kalapani, Limpiyadhura as its own

N…",RaghavendraAgr8,Prayagraj India,No Value Mentioned,276,256,9628,False,"Nepal officially releases new controversial map showing Indian territories of Lipulekh, Kalapani, Limpiyadhura as its own

Nepal PM blamed India for COVID-19 spread in his country

Finally, communism showed its true colours

China backed communists &amp; Maoists have taken over Nepal"
2020-05-20 18:00:02+00:00,When COVID-19 came. https://t.co/aE0Js7KS1B,Authorsunilk,"New Delhi, India","𝐀𝐮𝐭𝐡𝐨𝐫 𝐨𝐟 𝟑 𝐛𝐨𝐨𝐤𝐬, Writer, Storyteller, fiction, romance, poetry,
 DU alumni,
MSc.(chemistry)🎓
My tweets are my own.",3245,2772,1197,False,No Value Mentioned
2020-05-20 18:00:02+00:00,"RT @CoronaV2k20: I can be your best friend by giving you immunity, or your worst enemy by destroying your health and possibly killing you.…",mohsin240011,indian  occupied Kashmir,"#Engineer 
#Traveller
#sapiophile
#extrovert",954,85,1021,False,"I can be your best friend by giving you immunity, or your worst enemy by destroying your health and possibly killing you.

Don’t be covidiots, follow guidelines, observe lockdown n keep me at bay.

#COVID__19 #COVID #CoronavirusOutbreak"
2020-05-20 18:00:03+00:00,"Modi's diplomacy is a big flop in our neighborhood
Nepal PM is very angry on India and he said- Indian virus is more dangerous than China Virus. A very small country is also not scared of us? Unbelievable!
Modi's foreign trips are just a waste of money!
#Nepal",imfnwz,"New Delhi, India","ʟɪꜰᴇ ʜᴀꜱ ɴᴏ ʀᴇᴍᴏᴛᴇ, ɢᴇᴛ ᴜᴘ ᴀɴᴅ ᴄʜᴀɴɢᴇ ɪᴛ ʏᴏᴜʀꜱᴇʟꜰ !!",238,688,1020,False,No Value Mentioned
2020-05-20 18:00:04+00:00,RT @Iyervval: So Maharashtra is cracking down on all “objectionable content” &amp; “free speech warriors” are absolutely silent. Tells you a lo…,SinghSinghk89,"Chennai, India",male,465,835,64393,False,"So Maharashtra is cracking down on all “objectionable content” &amp; “free speech warriors” are absolutely silent. Tells you a lot about who’s doing the “suppressing” &amp; these self proclaimed defender’s commitment to free speech
https://t.co/NyqBo2VdfZ"
2020-05-20 18:00:04+00:00,"RT @Rover829: SYDNEY, May 18 (Reuters) - A draft resolution pushed by the European Union and Australia calling for an independent review in…",satyamsahu293,"Raipur, India",No Value Mentioned,47,239,6194,False,"SYDNEY, May 18 (Reuters) - A draft resolution pushed by the European Union and Australia calling for an independent review into the origins and spread of the coronavirus has support from 116 nations at the World Health Assembly, almost enough for it to pass, a document showed."
2020-05-20 18:00:05+00:00,"Latest updates of COVID-19 in India 🇮🇳.

-------------------------------
😲Total Cases: 105654 [-1096]
💉Active Cases: 60053 [-1096]
✅Discharged: 42298 [+0]
☠️Deaths: 3303 [+0]
-------------------------------

#Corona #IndiaFightsCorona #QuarantineAndChill https://t.co/A94uGnRK1Q",GoCoronaBot,India,"I am a bot that tweets the latest coronavirus stats in India🇮🇳.
Source: https://t.co/IxO40dUQL2.
I tweet data every ~6 hours.",742,1,394,False,No Value Mentioned
2020-05-20 18:00:05+00:00,This bride wore MASKS matching with her lehenga for her LOCKDOWN wedding and she just set a trend – Times of India https://t.co/KqIDepkAfK,newsjokindia,india,"Newsjok is your Newspaper, news, entertainment, music, fashion & website.",0,24,13105,False,No Value Mentioned
2020-05-20 18:00:08+00:00,RT @Humtumandfun: @dr_padhi @ric_2009_j @ArvindKejriwal Shameless people risking their life &amp; others 2 ... soon corona bombs will roam arou…,dr_padhi,India,"Cardiologist। संघ से प्रेरित।ଓଡ଼ିଆ-ગુજરાતી-भारतीय। हिन्दू- सांस्कृतिक।
blue blooded!
#TeamIndia...#Chelsea...#Brazil",5460,3486,88787,False,@dr_padhi @ric_2009_j @ArvindKejriwal Shameless people risking their life &amp; others 2 ... soon corona bombs will roam around ... same scene is there in Mumbai too. @thakkar_sameet tweeted.   N unfortunately both states ruled by fools ...
2020-05-20 18:00:09+00:00,COVID-‘20🎓 (Louis V my belt) https://t.co/RwTwzbubT2,TrillaTweetz,"Indiana, USA",No Value Mentioned,46,158,149,False,No Value Mentioned
2020-05-20 18:17:55+00:00,"Modi's diplomacy is a big flop in our neighborhood

🔸Nepal opens border dispute &amp; called Corona ""Indian Virus""
🔸Sri Lanka is firmly with China, Pak with US 
🔸Maldives cancelled Indian work visas
🔸Bangladesh is pissed due to CAA

Modi's foreign trips are just a waste of money!",ahmad__farhaan,"Bihar, India","I may not change anything,
   But at least i will not be silent.",2607,4036,4218,False,No Value Mentioned
2020-05-20 18:17:57+00:00,"RT @AmitShah: To support and revive our MSMEs, Modi cabinet today has also approved additional funding of ₹3 lakh crores through introducti…",PrasathVj,"Chennai, India",No Value Mentioned,93,752,4050,False,"To support and revive our MSMEs, Modi cabinet today has also approved additional funding of ₹3 lakh crores through introduction of Emergency Credit Line Guarantee Scheme (ECLGS). This will boost our economy by helping the MSMEs to face challenges posed by COVID-19."
2020-05-20 18:17:58+00:00,"RT @AdityaRajKaul: Indian Chowmein is lethal hot, not bland. Don’t be a puppet of a bland regime.",gowthamvelan,"Bengaluru, India",Searching 🔍,628,5003,21474,False,"Indian Chowmein is lethal hot, not bland. Don’t be a puppet of a bland regime. https://t.co/8qv4yPMXg4"
2020-05-20 18:17:58+00:00,".@assampolice @gpsinghassam @AssamCid @VoiceOfAxom
9. After COVID 19 pandemic with sensible young citizens, FFF has initiated several online campaigns but no physical, public strikes. 
10. The strikes encourages protestors to be mindful, sensible and respectful to each other.",JuhebH,"Guwahati, India",Moving off road.,24,75,697,False,No Value Mentioned
2020-05-20 18:17:59+00:00,RT @ComradeMallu: A silent revolution is happening in Kerala by @KeralaDyfi and most of the mainstream media are not even bothered to repor…,PJosephLopez1,India Bengaluru,Very passionate  .Normal human like feelings. Sensitive  to the Happenings arround.,302,704,3934,False,A silent revolution is happening in Kerala by @KeralaDyfi and most of the mainstream media are not even bothered to report it. Kudos to @ttindia for this.. https://t.co/QYAD33T3Z9 #recyclekerala https://t.co/PLsqfmnopH
2020-05-20 18:17:59+00:00,RT @himantabiswa: Alert ~ 14 new #COVID19 positive cases confirmed among those at Sarusajai Quarantine Centre. We need to be extra careful…,justphookan,"Guwahati, India",⭐I have a third point of view. For me the glass is always full : half with water and half with air. NAMO.⭐,207,1908,8070,False,"Alert ~ 14 new #COVID19 positive cases confirmed among those at Sarusajai Quarantine Centre. We need to be extra careful 

↗️Total cases 185
↗️Recovered 48
↗️Active cases 130
↗️Deaths 04
↗️Migrated 03

Update 10:35 pm / May 20

#AssamCovidCount https://t.co/8geqDcntHY"
